,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
151,barrow,100,AR,1570147262,60,-38.31,-60.23,44.56,11.34
152,hilo,1,US,1570147262,55,19.71,-155.08,87.8,8.05
153,sompeta,62,IN,1570147263,84,18.93,84.6,74.69,2.59
154,nuuk,20,GL,1570147263,56,64.17,-51.74,44.6,1.12
155,zhanaozen,0,KZ,1570147263,36,43.35,52.85,54.77,12.86
156,sao joao do paraiso,88,IN,1570147252,87,20.51,76.21,71.36,4.0
157,marienburg,75,DE,1570147263,93,52.12,9.98,50.0,3.36
158,gilgit,100,PK,1570147264,64,35.92,74.31,40.17,4.95
159,lebu,75,ET,1570147264,87,8.96,38.73,57.2,9.17
160,antalaha,12,MG,1570147264,97,-14.9,50.28,64.71,3.24
161,kodinsk,92,RU,1570147264,95,58.6,99.18,34.64,7.76
162,alice springs,19,ZA,1570147265,91,-32.79,26.83,53.19,3.51
163,port-cartier,75,CA,1570147265,56,50.03,-66.88,41.0,3.36
164,fare,23,PF,1570147265,77,-16.7,-151.02,77.87,15.14
165,nanortalik,100,GL,1570147143,72,60.14,-45.24,41.64,5.06
166,manono,60,CD,1570147265,69,-7.3,27.4,76.6,3.42
167,sussex,75,CA,1570147266,65,45.72,-65.51,46.4,5.82
168,tura,100,RU,1570147266,96,64.27,100.22,36.02,5.64
169,ribeira brava,90,PT,1570147266,100,41.76,-8.56,66.0,3.36
170,surt,31,LY,1570147266,78,31.21,16.59,77.12,18.14
171,egvekinot,97,RU,1570147267,94,66.32,-179.17,26.03,8.7
172,auki,100,NG,1570147267,74,12.18,6.51,75.98,9.82
173,qaanaaq,91,GL,1570147267,58,77.48,-69.36,29.87,6.08
174,glendive,1,US,1570147267,62,47.11,-104.71,57.2,11.41
175,mahebourg,75,MU,1570147268,100,-20.41,57.7,73.4,10.29
176,mecca,2,SA,1570147234,81,21.43,39.83,82.0,4.61
177,trairi,6,BR,1570147268,89,-3.28,-39.27,73.57,4.76
178,chingola,0,ZM,1570147268,87,-12.55,27.86,60.9,5.12
179,nyaunglebin,10,MM,1570147269,94,17.95,96.73,74.58,1.34
180,hachinohe,75,JP,1570147269,77,40.47,141.48,69.8,6.93
181,matagami,99,NG,1570147158,96,9.67,8.4,68.31,1.14
182,cedar city,1,US,1570147269,9,39.39,-110.45,75.99,8.05
183,linxia,100,CN,1570147270,80,35.6,103.21,45.13,0.51
184,panaba,1,MX,1570147270,86,21.28,-88.27,80.09,5.61
185,hovd,20,NO,1570147270,69,63.83,10.7,41.0,12.75
186,kamaishi,75,JP,1570147270,88,39.28,141.86,69.8,12.75
187,georgetown,20,GY,1570147050,88,6.8,-58.16,80.6,4.7
188,vestmannaeyjar,100,IS,1570147271,78,63.44,-20.27,47.9,42.9
189,esmeralda,75,CL,1570147271,35,-34.33,-70.9,57.2,10.29
190,avera,40,US,1570147271,55,33.19,-82.53,93.2,0.94
191,zyryanka,100,RU,1570147271,47,65.73,150.89,29.6,22.97
192,puerto madryn,49,AR,1570147272,49,-51.62,-69.23,46.4,11.41
193,zhuhai,20,CN,1570147272,65,40.71,112.04,46.4,8.95
194,arica,90,CL,1570147272,77,-18.48,-70.32,62.6,8.05
195,hambantota,83,LK,1570147272,79,6.12,81.12,79.78,4.94
196,san miguel,39,ML,1570146998,61,13.3,-4.9,82.68,0.43
197,batagay-alyta,100,RU,1570147273,72,67.8,130.41,7.38,5.17
198,laurel,90,US,1570147183,88,39.1,-76.85,73.99,6.93
199,yellowknife,20,CA,1570147022,57,62.45,-114.38,51.8,11.41
200,jizan,20,SA,1570147215,74,16.89,42.56,87.8,0.51
201,anadyr,40,RU,1570147273,79,64.73,177.51,24.8,29.08
202,jardim,42,BR,1570147273,69,-21.48,-56.15,76.73,5.01
203,vagur,50,FO,1570147274,77,61.47,-6.81,47.65,26.69
204,chokurdakh,100,RU,1570147274,93,70.62,147.9,25.65,3.49
205,farah,0,AF,1570147274,39,32.37,62.11,58.0,5.91
206,naze,94,NG,1570147274,98,5.43,7.07,72.24,3.96
